,yelpid,name,lat,lng,distance miles,price rating,price value,review count,review rating,type,address1,city,state,zip
55,qKUbPdzNQpdSP2mhk3tREg,Moo Frites,43.6548210057109,-79.4007505178083,1024.0846177869553,$,1,197,4.0,Belgian,178 Baldwin Street,Toronto,ON,M5T 1L8
56,uYko1SzZ9XpTXS-F5xnAdA,817 Sports Bar & Grill,43.64595,-79.4091,2202.601382739058,NO $,0,1,5.0,Sports Bars,817 Queen Street W,Toronto,ON,M6J 1G1
57,HczMx_z0HS_PnpdTHc3qzQ,Egg Bae,43.653418218123,-79.4014396490667,1189.31657462427,$,1,117,4.0,Breakfast & Brunch,189 Augusta Avenue,Toronto,ON,M5T 2L4
58,nIskoP3-_MttghA3d-eYBA,La Chilaca Taqueria,43.654581,-79.4024681,1109.466664544268,$,1,44,4.5,Mexican,214 Augusta Avenue,Toronto,ON,M5T 2L6
59,ZumOnWbstgsIE6bJlxw0_Q,Jacobs & Co. Steakhouse,43.64539876116,-79.3980279011192,1996.6650919607619,$$$$,4,507,4.5,Steakhouses,12 Brant Street,Toronto,ON,M5V 1K4
60,b7wUWVV01xaa7E0FUNMDiw,DaiLo,43.65574,-79.4098,1407.5169752195739,$$$,3,234,4.0,Chinese,503 College Street,Toronto,ON,M6G 1A5
61,O-uIEuv7JLUHajkemx_sVw,Beerbistro,43.649817,-79.377147,2113.906262228023,$$,2,611,4.0,Bistros,18 King Street E,Toronto,ON,M5C 1C4
62,QaxDKkqYTtVYZJcqBNTnvQ,Yummy Yummy Dumplings,43.6537999,-79.39598,1052.8808736503534,$,1,220,4.0,Chinese,79 Huron Street,Toronto,ON,M5T 2A8
63,DE89UdHFMCN6DtYWZuer5A,Hokkaido Ramen Santouka,43.656321731393,-79.377499580039,1656.0979737190241,$$,2,777,4.0,Ramen,91 Dundas Street E,Toronto,ON,M5B 2C8
64,h8vVxwP6FnlkRDONKBHT-w,Chubby's Jamaican Kitchen,43.64532,-79.40066,2035.301199138133,$$,2,150,4.0,Caribbean,104 Portland Street,Toronto,ON,M5V 2N2
65,5dy8OiWJty9AuxBcBzeBZQ,Piano Piano,43.66311,-79.40292,585.180564856162,$$$,3,200,3.5,Italian,88 Harbord Street,Toronto,ON,M5S 1G5
66,bcocXdKPSXC0LiRGlBM7mg,Tsujiri Patisserie,43.66549,-79.38501,891.5163131152775,NO $,0,6,4.5,Desserts,596 Yonge St,Toronto,ON,M4Y 1Z3
67,mES9E5K4HbYoPFXGv0pUuw,Como En Casa,43.6653391464388,-79.3844996650524,930.0057804723341,$,1,206,4.0,Mexican,565 Yonge Street,Toronto,ON,M4Y 1Z2
68,v_UM-AW9YYTCbWUNa-w1Gg,Epicure City BOM,43.65854,-79.3852,997.8781513173598,$$,2,143,4.0,Korean,72 Gerrard Street W,Toronto,ON,M5G 1J5
69,N93EYZy9R0sdlEvubu94ig,Banh Mi Boys,43.64884,-79.39695,1609.9163111674115,$,1,1065,4.5,Sandwiches,392 Queen Street W,Toronto,ON,M5V 2A9
70,EEIz44ewHhOKmfTloAK13g,Alo Restaurant,43.64851,-79.39584,1638.8124336988951,$$$$,4,250,4.5,Bars,163 Spadina Avenue,Toronto,ON,M5V 2A5
71,fNc1WuGwiT7RhqXUIe4S8A,Sabai Sabai Kitchen and Bar,43.6704534404129,-79.3847215948792,1190.4895074122849,$$,2,302,4.0,Laotian,81 Bloor Street E,Toronto,ON,M4W 1A9
72,K3V9JWBZgIMtSICc4kBRUA,Naan & Kabob,43.66905,-79.38606,1005.0284690773157,$$,2,76,4.0,Afghan,691 Yonge Street,Toronto,ON,M4Y 2B2
73,PlYrlj86zAYljZTRCBSZ3A,Nom Nom Nom Poutine,43.6520696112633,-79.4047858938575,1444.5074609775752,$,1,86,4.5,Poutineries,707 Dundas Street W,Toronto,ON,M5T 2W6
74,3UsFBwW-gWCIrAV3e8VEEw,Clay Restaurant,43.66798,-79.3934699,576.3640282513278,NO $,0,2,4.0,Canadian (New),111 Queens Park,Toronto,ON,M5S 2C7
75,zA6gnF5aPBGoOm6uIbKt-A,Yuzu No Hana,43.64847,-79.38834,1749.724090370045,$$$,3,512,4.0,Sushi Bars,236 Adelaide Street W,Toronto,ON,M5H 1W7
76,ttuEwktrkmh3TUlSFPZqAA,Banh Mi Boys,43.6590974,-79.3820781,1190.5470241492665,$,1,457,4.0,Vietnamese,399 Yonge Street,Toronto,ON,M5B
77,QKfPHb4bFXJY_M75RcgTew,Eighteen30,43.64484,-79.39376,2066.403656019764,NO $,0,5,4.0,Tapas Bars,9 Clarence Square,Toronto,ON,M5V 1H1
78,FML0YqZ7dLBBC3Suap4_4Q,416 Snack Bar,43.64755,-79.40385,1868.959296449395,$$,2,305,4.0,Tapas/Small Plates,181 Bathurst Street,Toronto,ON,M5T 2R7
79,TmSMf-0j4gvVc9sp-7CiMg,Shi Miaodao Yunnan Rice Noodle,43.6536,-79.39869,1100.4907370569554,NO $,0,27,4.0,Noodles,318 Spadina Avenue,Toronto,ON,M5T 2E7
80,_crbEZ55ve6OFkoWa09R9A,The Wickson Social,43.6659578,-79.3854723,875.3790774816285,$$,2,106,4.0,Cocktail Bars,5 St Joseph Street,Toronto,ON,M4Y 1Z3
81,OJ6zfenoK-eBNI7vvNrOsg,Fieramosca,43.66963,-79.39719,710.437970624449,$$$,3,87,4.5,Italian,36A Prince Arthur Avenue,Toronto,ON,M5R 1A9
82,NroCi19AbudaB6vxHJO0UA,Dakgogi,43.66489,-79.38314,1027.6922632596804,NO $,0,7,3.0,Korean,25 wellesley street east,Toronto,ON,M4Y 2S9
83,sCPNcNxYuTnTdlAZohMyQg,Museum Tavern,43.6686897,-79.3958511,583.5866110411218,$$,2,206,3.5,American (Traditional),208 Bloor Street W,Toronto,ON,M5S 1W2
84,FBd6q_qzEFixvhV3KdzvJw,Riddle Room,43.6657555,-79.3847049,926.7155155254942,$,1,159,4.5,Cafes,579 Yonge Street,Toronto,ON,M4Y 1Z2
85,Ibp4hEKSE8JaX9OvfEiFqg,Otto's Berlin Döner,43.6563397,-79.4029066,964.686379818878,$$,2,226,4.0,German,256 Augusta Avenue,Toronto,ON,M5T 2L9
86,-BbnAc9YEO6pjvJGEtFbVQ,Sansotei,43.6668190173642,-79.3854692490327,912.6660880851323,$$,2,254,4.0,Ramen,650 Yonge Street,Toronto,ON,M4Y 2A6
87,RyDiwx4xD3Lx8sWHx1aFlQ,Smoque N' Bones,43.6457027819391,-79.4107432752393,2298.3333940726616,$$,2,360,4.0,Barbeque,869 Queen Street W,Toronto,ON,M6J 1G4
88,x4q_kJ-dvaHL7dkpZKJUdg,Bob's Bulgogi,43.652139,-79.377507,1917.476077942647,$,1,73,4.0,Korean,105 Victoria Street,Toronto,ON,M5C 3B4
89,TpwCjlKsdYjLsvlYhKGt4g,Almond Butterfly Cafe & Bakeshop,43.6629326,-79.4033968,619.9638196652643,$,1,135,4.5,Bakeries,100 Harbord Street,Toronto,ON,M5S 1G6
90,c78Pat78fVUBFPXYeVvbaQ,Odd Seoul,43.64619,-79.419686,2707.7784011881577,$$,2,277,4.0,Korean,90 Ossington Avenue,Toronto,ON,M6J 2Y7
91,41o1FUbCYKJv2djtnlkzlg,Bar Raval,43.6558432,-79.4099433,1412.5167206690373,$$$,3,241,4.0,Spanish,505 College Street,Toronto,ON,M6G 2J3
92,NECnXyZ8SCjQICOBhG7wTg,The Original Gyro Grill,43.6665811534236,-79.4058116737637,892.2034020526548,$,1,115,4.0,Fast Food,4 Walmer Road,Toronto,ON,M5S 1X2
93,yhUzMGe0zXJhdXa5eRyY-g,The Manna,43.6638499,-79.41828,1809.2049856856108,$,1,19,4.5,Korean,726 Bloor Street,Toronto,ON,M6G 1L4
