,Name,Compound Score,Negative Score,Neutral Score,Postive Score
231,Mi'hito Sushi Laboratory,0.469600579,0.026390738,0.800329957,0.173264834
232,Morton's The Steakhouse,0.469816427,0.026381844,0.800371758,0.173233429
233,Mymy Chicken,0.468522812,0.026639885,0.80035868,0.172988522
234,Seoul Food Take-Out,0.468664,0.026525714,0.80062,0.172841429
235,Panpan Noodle Bar,0.467932575,0.026598862,0.800762447,0.172625889
236,Hibiscus,0.469250708,0.026597734,0.800157224,0.173230878
237,Stelvio,0.470839492,0.02657969,0.799538787,0.173868829
238,Jacques' Bistro Du Parc,0.47227486,0.026467697,0.799043539,0.174476124
239,Napoli Centrale,0.472241538,0.02654965,0.798551049,0.174886713
240,Shish Kabab Express,0.471464485,0.026855153,0.79821727,0.174915042
241,Pi Co,0.471005825,0.0269362,0.798101248,0.174950069
242,Nguyen Huong Food,0.47067058,0.027009669,0.798290055,0.174689227
243,Harvest Green,0.471039752,0.027009629,0.798367263,0.174612105
244,FAT Lamb Kouzina,0.470299178,0.027082192,0.798493151,0.174413699
245,Crepes Club,0.47016985,0.027075034,0.798493861,0.174420191
246,Casa Fuego,0.470378125,0.027233696,0.798361413,0.174394022
247,Maido Japanese Restaurant,0.468707037,0.027520974,0.798136671,0.174331529
248,K-Wok,0.467019003,0.02756469,0.798566038,0.173858491
249,Vietnam Lovely Noodle,0.468224564,0.02772349,0.797978523,0.174287248
250,98 Aroma,0.467622326,0.027807487,0.797832888,0.17434893
251,Raijin Ramen,0.467625433,0.027809587,0.797729694,0.174450067
252,One Restaurant,0.469178515,0.027698939,0.797293103,0.174997347
253,Caffiends,0.469687417,0.027662252,0.797178808,0.175148344
254,Canoe,0.470812929,0.02755277,0.796901055,0.17553562
255,Eggspectation,0.470017346,0.027444152,0.797413929,0.175131406
256,Bindia Indian Bistro,0.471612435,0.027336387,0.796990838,0.175662304
257,Fresh On Bloor,0.470516819,0.027483703,0.796970013,0.175535854
258,Sofia,0.470404026,0.027376623,0.797264935,0.175348052
259,KaKa All You Can Eat,0.469417464,0.027270375,0.797868047,0.174851229
260,Mo' Ramyun,0.469833376,0.027164948,0.798085052,0.174739691
261,La Palma,0.469993838,0.02714249,0.797935815,0.174911425
262,The Fry,0.470534143,0.027038363,0.79798977,0.174961637
263,Burrito Bandidos,0.471385732,0.026935032,0.797936306,0.175118471
264,PG Clucks,0.468849746,0.02717132,0.798247462,0.174571066
265,The Keg Steakhouse + Bar - Mansion,0.468471049,0.027068268,0.798548673,0.174372946
266,Barberian's Steak House,0.467327582,0.027039043,0.799017632,0.173933249
267,Big Crow,0.466963237,0.027135508,0.798907152,0.173948557
268,Zakkushi On Carlton,0.4678975,0.02711125,0.7986875,0.17419125
269,Woodlot Restaurant,0.468763885,0.027072229,0.798650062,0.174267746
270,Hogtown Smoke,0.469691811,0.026971464,0.798652605,0.174366005
271,Karine's,0.470229048,0.02694314,0.798327565,0.174719407
272,Veggie D'Light,0.470430296,0.027083744,0.797883005,0.175022167
273,Hot Dog Stand,0.470078282,0.027337423,0.797373006,0.175279755
274,Kanga,0.469404768,0.027328851,0.797711491,0.174949878
275,JaBistro,0.468706577,0.027228989,0.798192448,0.174568819
276,Akira Back,0.469553641,0.027129854,0.798117718,0.174742718
277,Rustle & Still Café,0.469905683,0.027031439,0.798128174,0.174830713
278,Crêpes à GoGo Spadina,0.47130494,0.026985542,0.79766506,0.175339759
279,The Pie Commission,0.471293037,0.027060024,0.797483794,0.175446579
280,River Tai Restaurant,0.471960885,0.026962919,0.797354067,0.175673445
281,Soufi's,0.47279416,0.026922527,0.797266985,0.175802145
282,Mochica,0.472359739,0.026937055,0.797437055,0.175617577
283,Bar Mercurio,0.471748521,0.02716213,0.79691716,0.175912426
284,Cibo Wine Bar,0.470971462,0.027117925,0.79735967,0.175514151
285,Kushimaru,0.470727262,0.027092832,0.79760047,0.175298472
286,Ristorante Sotto Sotto,0.469903162,0.027368852,0.797211944,0.175409836
287,Town Crier Pub,0.469406651,0.027603267,0.797038506,0.175348891
288,Trattoria Taverniti,0.468538953,0.027759302,0.796944186,0.175287209
289,Akai Sushi,0.469849131,0.027662804,0.79669409,0.175633835
290,Chelsea's,0.469539468,0.027630787,0.796851852,0.175508102
291,Burrito Boyz,0.468243022,0.0276609,0.79716955,0.175160323
292,Fresco's Fish & Chips,0.468991839,0.02766092,0.796990805,0.17533908
293,Planta Queen,0.468453387,0.027629162,0.797223881,0.175137773
294,Ehwa J Bar,0.467192563,0.027652174,0.797478261,0.174860412
295,Mandi Guys,0.468487913,0.027557583,0.79732041,0.175112885
296,Tokyo Sushi,0.469290568,0.027463636,0.797151136,0.175376136
297,Apiecalypse Now!,0.468446319,0.027583239,0.796946772,0.175460929
298,Spot Crepes & Tea,0.468901693,0.027575621,0.796805869,0.175609481
299,Pizzeria Libretto,0.468902812,0.027572553,0.796865017,0.175553431
300,Tocino Boys,0.468357287,0.027627803,0.796856502,0.175506726
301,White Brick Kitchen,0.467286369,0.027775419,0.796976536,0.175239106
302,Park Hyatt Toronto Kosher Annona Restaurant,0.466544209,0.027891982,0.797035635,0.175063474
303,KINTON RAMEN,0.466636737,0.027799112,0.797244173,0.174947836
304,Brothers,0.466567367,0.027790929,0.797431416,0.174768805
305,Ken Ho's Snack Service,0.464927012,0.027923925,0.797746417,0.174320838
306,Mi Taco Taqueria,0.465154835,0.027831868,0.797975824,0.174183516
307,The Shore Club - Toronto,0.464810953,0.027966046,0.797894852,0.17413034
308,You Don Ya,0.464008843,0.027874454,0.798374454,0.173742358
309,The Dirty Bird Chicken + Waffles,0.46372568,0.027838955,0.79862568,0.173526659
310,Magic Noodle,0.463112148,0.02786551,0.798559653,0.173566161
311,Le Swan,0.463154486,0.027823784,0.798752432,0.173416216
312,Country Style Hungarian Restaurant,0.463034914,0.027842672,0.798616379,0.173533405
313,Top Gun  Burgers,0.463276047,0.027847476,0.79847261,0.173671321
314,Hodo Kwaja,0.462729657,0.02775803,0.798900428,0.173332976
315,La Societe - Toronto,0.462805336,0.027755603,0.798898613,0.173337247
316,Noodle King,0.462232128,0.027667021,0.79932234,0.173002128
317,River Tai,0.460346872,0.027888653,0.799459173,0.17264369
318,Koi Koi Saké Bar,0.461036998,0.027800211,0.799415433,0.172775899
319,Our Spot,0.460978398,0.02776607,0.799536354,0.172689146
320,Omaw,0.461368908,0.02775,0.799521008,0.172720588
321,Adelina Russian Restaurant & Bar,0.462160692,0.027691824,0.799051363,0.173248428
322,King Taps,0.462952665,0.027780564,0.798810867,0.173401254
323,Blu Ristorante,0.462755833,0.027803125,0.798698958,0.173490625
324,Avenue Open Kitchen,0.462813915,0.027716511,0.798933541,0.173342679
325,Rhum Corner,0.462773499,0.027701863,0.798818841,0.17347205
326,Hot Box Cafe,0.462938803,0.027616099,0.798982456,0.173394221
327,Jules Bistro,0.46336142,0.027598765,0.79892284,0.173471193
328,Oriental Delight,0.463804933,0.027615622,0.79873073,0.173645427
329,Kevin's Taiyaki,0.464506148,0.027607582,0.798694672,0.173689549
330,Kinoya Sushi Bar,0.465592033,0.027522983,0.798362615,0.174106231
331,Sassafraz,0.466166395,0.027540733,0.798231161,0.174219959
332,Doo Roo Ae,0.466278883,0.027541117,0.798336041,0.174114721
333,Miss Korea,0.465284818,0.027512146,0.798742915,0.173736842
334,Dublin Calling,0.465199899,0.02742886,0.798857719,0.173705348
335,Terroni,0.466092555,0.027346076,0.798737425,0.173908451
336,Kasa Moto,0.464307121,0.02745336,0.799031093,0.173507523
337,Mapo Korean BBQ,0.4621191,0.027682,0.79914,0.17317
338,Schmaltz Appetizing,0.461347757,0.027784646,0.799220339,0.172987039
339,Banh Mi Ba Le,0.462560437,0.027701789,0.798926441,0.173363817
340,The Hummussiah,0.461365808,0.027691774,0.799315164,0.172986125
341,Crown Princess Fine Dining,0.460802273,0.027762846,0.799399209,0.172831028
342,Aviv Restaurant,0.461216946,0.027680788,0.799349754,0.172962562
343,Scaddabush,0.462060314,0.027757367,0.799028487,0.173207269
344,Kiyo,0.46331998,0.027675808,0.798558276,0.17375906
345,Yonge Street Warehouse,0.462940234,0.027638672,0.798817383,0.173538086
346,T&T Roti Trinidad & Toronto Roti,0.464217137,0.027557936,0.798419669,0.174016553
347,Caffe Di Portici,0.46439699,0.027543689,0.798213592,0.174236893
348,The Keg Steakhouse + Bar - York Street,0.463202807,0.027745402,0.798227493,0.174021297
349,Oyster Boy,0.464382046,0.027665058,0.797869691,0.174459459
350,Union,0.465178152,0.027585178,0.797509143,0.174899904
351,Sushi Box,0.464363148,0.027583493,0.797817658,0.17459309
